"Type.of.feeding.interaction","Predator.lifestage","Slope","Intercept","R.squared","F.value","P.value"
"insectivorous","larva / juvenile",0.384249046154572,0.41085561349436,0.125577629410638,4.3083628793485,0.0465944025225441
"piscivorous","adult",0.285409207488917,3.04230934042693,0.0762549666793181,1460.96633985589,3.21527852225856e-307
"piscivorous","juvenile",0.223480124508147,3.7875970513912,0.0715818776775041,233.384440178495,8.16786748029001e-51
"piscivorous","larva / juvenile",0.652630804441673,2.15727970672255,0.502262057547569,9.08180416316188,0.0146301686798565
"piscivorous","postlarva",0.106773528674382,-1.09766442150068,0.0389698693052271,1.25705314524184,0.270820006991041
"piscivorous","postlarva/juvenile",NA,0.105293012452578,0,NA,NA
"planktivorous","adult",0.802761886290888,3.87815102648538,0.224199133583999,45.0825287172977,3.31771921399382e-10
"planktivorous","juvenile",0.168911383542264,1.13499506432389,1,NA,NA
"planktivorous","larva",0.204221090759678,-0.879153566846328,0.0876722735852069,98.3075854003908,3.45409437932672e-22
"planktivorous","larva / juvenile",0.537539976546297,2.20757509090593,0.2383099678989,36.9186611704769,1.55071505486177e-08
"planktivorous","postlarva/juvenile",0.675479706794874,2.95889440474227,0.231238785388308,78.8080363840136,1.10590667174268e-16
"predacious","adult",0.321994355406023,3.35636234035407,0.146129065719437,1356.94671825977,2.36661210564952e-274
"predacious","juvenile",0.932339687360739,3.09872917399732,0.628987013196308,3560.17922469959,0
"predacious","larva",0.323614384510347,0.621931166248409,0.114146688218641,155.914631584789,9.61358023701325e-34
"predacious","larva / juvenile",0.512543148452051,1.56495875082157,0.423997091277262,357.009636853166,4.43552228318592e-60
"predacious","postlarva",0.15403834606651,-0.700843567967421,0.109207422360888,8.58170550266892,0.00458060708606847
"predacious","postlarva/juvenile",0.211649696643391,0.724032267841634,0.144168820056289,99.0513879135296,1.13623625842995e-21
"predacious/piscivorous","adult",0.531028610582127,2.07757273211365,0.34115409853576,82.3310906945516,4.19117303972467e-16
