"Type.of.feeding.interaction","Predator.lifestage","Location","Slope","Intercept","R.squared","F.value","P.value"
"insectivorous","larva / juvenile","Strait of Georgia",0.384249046154572,0.41085561349436,0.125577629410638,4.3083628793485,0.0465944025225441
"piscivorous","adult","Apalachicola Bay, Florida",0.315601167257102,3.02562583922434,0.13840835729043,13.4939818773465,0.000420131370657527
"piscivorous","adult","Atlantic Ocean",0.260141577182125,2.73206203343087,0.167648928394048,2213.9660580383,0
"piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",-0.000755719487485249,5.36953046133702,1.05682888325594e-05,0.000739788036572804,0.978378371318801
"piscivorous","adult","Eastern Mediterranean",0.652009130082474,1.23511522441337,0.621375968997542,205.142805962542,3.9074233469029e-28
"piscivorous","adult","Europe, Celtic Sea ecosystem",0.446320367632758,2.25715038329079,0.360856572626597,1179.43695879791,2.57239252512267e-205
"piscivorous","adult","French Polynesian EEZ",-0.00344440892783918,4.25924952805036,0.000137077297159916,0.257603552962261,0.61183091287253
"piscivorous","adult","Great Channel South, Gulf of Maine, New England",0.275645033772454,4.67957663218393,0.236407118878563,224.458825408693,2.09079088296488e-44
"piscivorous","adult","Great South Bay, Long Island, New York",0.381984962733834,1.32365013478472,0.268430572529679,108.242657392169,8.43412441946392e-22
"piscivorous","adult","Gulf of Maine, New England",0.0637787507225843,5.27261043036267,0.00369890195870808,0.293298135786886,0.58963885418832
"piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",0.107808454068974,4.94206588443968,0.0955172500566941,40.8688565638843,4.69052308103856e-10
"piscivorous","adult","Mid Atlantic",0.102300793203792,1.80366724832028,0.0484716094614918,3.71867778814919,0.0576960215780972
"piscivorous","adult","Off the Bay of Biscay",0.192985490250414,4.62236307025158,0.142626808084677,59.2217533239126,1.39971967104672e-13
"piscivorous","adult","South of Marthas Vineyard, New England",0.486799091516025,4.30209052253993,0.136288598876772,2.20911797828935,0.159367429953627
"piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",0.108492499541347,5.12134876461172,0.0385393345397015,20.2024121275002,8.6504189134625e-06
"piscivorous","juvenile","Apalachicola Bay, Florida",0.25543106891044,3.30830689926533,0.0622128331867772,1.7911809368762,0.191944478653284
"piscivorous","juvenile","Off the Bay of Biscay",-1.05426625949324e-15,3.74507479158205,0.50051771989775,2983.17139865417,0
"piscivorous","juvenile","W Greenland",0.709121551017254,0.5552381746578,0.62039772600606,31.0523872001444,2.25023100017494e-05
"piscivorous","larva / juvenile","Strait of Georgia",0.652630804441673,2.15727970672255,0.502262057547569,9.08180416316188,0.0146301686798565
"piscivorous","postlarva","Antarctic Peninsula",0.106773528674382,-1.09766442150068,0.0389698693052271,1.25705314524184,0.270820006991041
"piscivorous","postlarva/juvenile","Antarctic Peninsula",NA,0.105293012452578,0,NA,NA
"planktivorous","adult","Eastern Mediterranean",-0.18852602374591,0.676577950895219,0.000777961069261617,0.0140142017500875,0.907076397953718
"planktivorous","adult","French Polynesian EEZ",0.0631832278723198,4.44830155910126,0.0480008709870067,6.85727355759357,0.00982944116500029
"planktivorous","juvenile","Gulf of Alaska",0.168911383542264,1.13499506432389,1,NA,NA
"planktivorous","larva","Antarctic Peninsula",1.02077538176859,4.84667783425581,0.330043815585916,156.165271662109,2.07689904818975e-29
"planktivorous","larva","Catalan Sea",0.25765387239584,-0.952957409501651,0.280072857461197,170.005867925651,4.7082127307039e-33
"planktivorous","larva","Greenland",0.258813702633504,-1.66712017658074,0.0982205090743172,5.1191715634985,0.0283256454055265
"planktivorous","larva","Western North Pacific",0.161010317505003,-1.49775938190212,0.0857054685549195,20.2477216817681,1.11138645151156e-05
"planktivorous","larva / juvenile","Strait of Georgia",0.537539976546297,2.20757509090593,0.2383099678989,36.9186611704769,1.55071505486177e-08
"planktivorous","postlarva/juvenile","Antarctic Peninsula",0.675479706794874,2.95889440474227,0.231238785388308,78.8080363840136,1.10590667174268e-16
"predacious","adult","Atlantic Ocean",0.205892717694039,2.99625946763439,0.168513283612109,1031.15969277666,3.52233438038376e-206
"predacious","adult","Cape Cod Bay, Gulf of Maine, New England",0.0294846614061531,5.50150964299748,0.0302655879145214,0.436942554087635,0.519332318863803
"predacious","adult","Eastern Mediterranean",0.17111969518826,0.770721997095481,0.0232312986385011,5.18487447041868,0.0237546050509442
"predacious","adult","French Polynesian EEZ",-0.01382066034552,4.23735380109092,0.0018175664144243,3.62354319511702,0.0571115661405266
"predacious","adult","Great Channel South, Gulf of Maine, New England",0.357253501132584,5.4401357262862,0.197889961568321,5.42765823379468,0.0293962572369456
"predacious","adult","Gulf of Maine, New England",0,5.22530928172586,NA,NA,NA
"predacious","adult","Jeffreys Ledge, Gulf of Maine, New England",-0.0283090245871123,5.10538533122872,0.0062173816286825,0.21896977566434,0.642726920235098
"predacious","adult","Mid Atlantic",0.358208680187523,1.6356636984136,0.657742185314356,69.1838656571368,6.6732870735387e-10
"predacious","adult","Off the Bay of Biscay",0.203506978120733,4.52523437521698,0.0873452550974306,45.0768654638197,5.4657257591683e-11
"predacious","adult","South of Marthas Vineyard, New England",0.0583894765003294,4.421466477942,0.00265210461319662,0.0717972383433339,0.790774221951643
"predacious","adult","Stellwagen Bank, Gulf of Maine, New England",0.182768954519519,5.48173445991222,0.206194400151178,1.29877138804795,0.306072332500698
"predacious","juvenile","Gulf of Alaska",0.0397576284666678,0.413371163861254,0.240623932316181,12.9916936348212,0.000839430679453026
"predacious","juvenile","Off the Bay of Biscay",-9.09405929065318e-18,3.74507479158206,0.495223171493986,588.64410194069,3.9298315539663e-91
"predacious","juvenile","Oxwich Bay, Wales",0.0778070237368167,-0.258244974791429,0.080545974091978,115.021372469738,8.77947893508207e-26
"predacious","juvenile","W Greenland",0.0432429593286008,-0.781489603152033,0.148366503387041,24.3899641768384,2.2082368105452e-06
"predacious","larva","Andaman Sea (West of South Thailand)",0.941421745921813,3.04236180660224,0.412420670135113,22.4607312979481,4.23336436449333e-05
"predacious","larva","Antarctic Peninsula",0.724801160896601,3.22196089977354,0.637066906559136,1662.29636099526,1.22794430266788e-210
"predacious","larva","Western North Pacific",0.150488902922313,-1.1564678116162,0.146191921213292,38.8677115383766,2.18738751251516e-09
"predacious","larva / juvenile","NE North Sea and Skaggerak",1.09890063283713,4.52185019186817,0.715421579592819,47.7654278662957,1.36957984453218e-06
"predacious","larva / juvenile","Strait of Georgia",0.510273652134304,1.55822589585508,0.422183530433424,339.023147381122,3.08809542053825e-57
"predacious","postlarva","Antarctic Peninsula",0.15403834606651,-0.700843567967421,0.109207422360888,8.58170550266892,0.00458060708606847
"predacious","postlarva/juvenile","Antarctic Peninsula",0.211649696643391,0.724032267841634,0.144168820056289,99.0513879135296,1.13623625842995e-21
"predacious/piscivorous","adult","Apalachicola Bay, Florida",0.621895377669317,2.05205895140432,0.384283752048305,34.9509862477974,2.11324894527805e-07
"predacious/piscivorous","adult","Crooked Island Sound, Florida",0.50644882649248,2.08237595884505,0.293713022751524,42.0013624114544,3.37813443070404e-09
